key,ticker,name,description,startMoment,endMoment,MoreInfo,draftMode,key:fundraiser
strategy-8,AG13-hoLASA,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-9,AG13-hoLASB,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-10,AG13-hoLASC,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-11,AG13-hoLASD,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-12,AG13-hoLASE,<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-13,AG13-hoLASF,' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
#description - standard variations
strategy-14,AH13-hoLAS,"Lorem ipsum dolor sit amet, consectetu",L,2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-15,AI13-hoLAS,"Lorem ipsum dolor sit amet, consectetu",Lo,2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-16,AJ13-hoLAS,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-17,AK13-hoLAS,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-18,AL13-hoLASA,"Lorem ipsum dolor sit amet, consectetu",โลเร็ม อิปซัม,2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-19,AL13-hoLASB,"Lorem ipsum dolor sit amet, consectetu",لوريم إيبسوم,2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-20,AL13-hoLASC,"Lorem ipsum dolor sit amet, consectetu",洛伦·伊普森,2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-21,AL13-hoLASD,"Lorem ipsum dolor sit amet, consectetu",<marquee>Hacked</marquee>,2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-22,AL13-hoLASE,"Lorem ipsum dolor sit amet, consectetu",<script>alert(‘Hacked!’);</script>,2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-23,AL13-hoLASF,"Lorem ipsum dolor sit amet, consectetu",' or 'A' = 'A,2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
#start-moment - standard variations
strategy-24,AM13-hoLAS,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 00:00,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-25,AN13-hoLAS,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 00:01,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-26,AN13-hoLASA,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2200/12/31 23:58,2200/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
#end-moment - standard variations
strategy-27,AO13-hoLAS,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 00:00,2025/01/01 00:01,http://lorem.com/ipsum,false,fundraiser-1
strategy-28,AB14-hoLAS,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2200/12/31 23:58,http://lorem.com/ipsum,false,fundraiser-1
strategy-29,AB14-hoLASA,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2200/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
#URL - standard variations
strategy-30,AB15-hoLAS,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-1
strategy-31,AB13-hoLAS1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://a.b,false,fundraiser-1
strategy-32,AB13-hoLAS2,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",false,fundraiser-1
strategy-33,AB13-hoLAS3,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",false,fundraiser-1
strategy-34,AB13-hoLAS4,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://www.lorem-ipsum.org,false,fundraiser-1
strategy-35,AB13-hoLAS5,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,https://www.lorem-ipsum.org,false,fundraiser-1
strategy-36,AB13-hoLAS6,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://www.lorem-ipsum.org/dolor/sit.html,false,fundraiser-1
strategy-37,AB13-hoLAS7,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://www.lorem-ipsum.org/dolor/sit.html#dolor,false,fundraiser-1
strategy-38,AB13-hoLAS8,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://example.org?a=1&b=2,false,fundraiser-1
strategy-39,AB13-hoLAS9,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://example.org?,false,fundraiser-1
strategy-40,AB13-hoLAS10,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://example.org?a,false,fundraiser-1
strategy-41,AB13-hoLAS11,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://example.org?a&b,false,fundraiser-1
strategy-42,AB13-hoLAS12,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://example.org/,false,fundraiser-1
strategy-43,AB13-hoLAS13,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://example.org/a,false,fundraiser-1
strategy-44,AB13-hoLAS14,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://example.org/a/b,false,fundraiser-1
strategy-45,AB13-hoLAS15,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://example.org/a/b?,false,fundraiser-1
strategy-46,AB13-hoLAS16,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://example.org/a/b?a&b,false,fundraiser-1
#draftMode - standard variations
strategy-47,AB13-hoLAS233,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,true,fundraiser-1
#fundraiser - standard variations
strategy-48,AB13-hoLAS33,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-2
strategy-49,AB13-hoLAS45,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-4
strategy-50,AB13-hoLAS56,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,http://lorem.com/ipsum,false,fundraiser-5
