key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:sponsor
sponsorship-44,"NN55-0000037","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://example.org?a",TRUE,sponsor-00
sponsorship-45,"NN55-0000038","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://example.org?a&b",TRUE,sponsor-00
sponsorship-46,"NN55-0000039","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://example.org/",TRUE,sponsor-00
sponsorship-47,"NN55-0000040","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://example.org/a",TRUE,sponsor-00
sponsorship-48,"NN55-0000041","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://example.org/a/b",TRUE,sponsor-00
sponsorship-49,"NN55-0000042","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://example.org/a/b?",TRUE,sponsor-00
sponsorship-50,"NN55-0000043","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://example.org/a/b?a&b",TRUE,sponsor-00
# draft-mode - standard variations,,,,,,,,
sponsorship-51,"NN55-0000044","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",FALSE,sponsor-00
# key:sponsor - standard variations,,,,,,,,
sponsorship-52,"NN55-0000045","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-01
# testing requirements,,,,,,,,
sponsorship-53,"NN55-0000046","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",FALSE,sponsor-01
sponsorship-54,"NN55-0000047","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",TRUE,sponsor-02
sponsorship-55,"NN55-0000048","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2113/12/31 23:59,"http://lorem.com/ipsum",FALSE,sponsor-02
