key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:inventor
invention-13,JA00-ooo10,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,2024/12/31 23:59,http://lorem.com/ipsum,false,inventor-1
invention-14,JA00-ooo11,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,2201/01/01 00:00,http://lorem.com/ipsum,false,inventor-1
invention-15,JA00-ooo12,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,2112/12/31 23:58,http://lorem.com/ipsum,false,inventor-1
#URL - standard variations
invention-16,JA00-ooo13,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,2113/12/31 23:59,http://,false,inventor-1
invention-17,JA00-ooo14,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,2113/12/31 23:59,ftp://,false,inventor-1
invention-18,JA00-ooo15,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,2113/12/31 23:59,http://a,false,inventor-1
invention-19,JA00-ooo16,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,2113/12/31 23:59,ftp://a,false,inventor-1
invention-20,JA00-ooo17,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/08/01 0:00,2113/12/31 23:59,http://a,false,inventor-1



